injection_area;phase;exp;ID;treatment;Behaviors;Intervals;totnb
neck;baseline;FN;510;baseline;backscratching;1;0
neck;baseline;FN;510;baseline;backscratching;2;0
neck;baseline;FN;510;baseline;backscratching;3;0
neck;baseline;FN;510;baseline;backscratching;4;0
neck;baseline;FN;510;baseline;backscratching;5;0
neck;baseline;FN;510;baseline;backscratching;6;0
neck;test;FN;510;formalin;backscratching;1;4
neck;test;FN;510;formalin;backscratching;2;36
neck;test;FN;510;formalin;backscratching;3;30
neck;test;FN;510;formalin;backscratching;4;29
neck;test;FN;510;formalin;backscratching;5;42
neck;test;FN;510;formalin;backscratching;6;5
neck;baseline;FN;511;baseline;backscratching;1;0
neck;baseline;FN;511;baseline;backscratching;2;4
neck;baseline;FN;511;baseline;backscratching;3;0
neck;baseline;FN;511;baseline;backscratching;4;0
neck;baseline;FN;511;baseline;backscratching;5;0
neck;baseline;FN;511;baseline;backscratching;6;0
neck;test;FN;511;formalin;backscratching;1;31
neck;test;FN;511;formalin;backscratching;2;105
neck;test;FN;511;formalin;backscratching;3;69
neck;test;FN;511;formalin;backscratching;4;65
neck;test;FN;511;formalin;backscratching;5;71
neck;test;FN;511;formalin;backscratching;6;46
neck;baseline;FN;512;baseline;backscratching;1;2
neck;baseline;FN;512;baseline;backscratching;2;2
neck;baseline;FN;512;baseline;backscratching;3;0
neck;baseline;FN;512;baseline;backscratching;4;0
neck;baseline;FN;512;baseline;backscratching;5;0
neck;baseline;FN;512;baseline;backscratching;6;0
neck;test;FN;512;formalin;backscratching;1;36
neck;test;FN;512;formalin;backscratching;2;23
neck;test;FN;512;formalin;backscratching;3;45
neck;test;FN;512;formalin;backscratching;4;49
neck;test;FN;512;formalin;backscratching;5;34
neck;test;FN;512;formalin;backscratching;6;6
neck;baseline;FN;513;baseline;backscratching;1;0
neck;baseline;FN;513;baseline;backscratching;2;0
neck;baseline;FN;513;baseline;backscratching;3;0
neck;baseline;FN;513;baseline;backscratching;4;1
neck;baseline;FN;513;baseline;backscratching;5;0
neck;baseline;FN;513;baseline;backscratching;6;0
neck;test;FN;513;formalin;backscratching;1;1
neck;test;FN;513;formalin;backscratching;2;56
neck;test;FN;513;formalin;backscratching;3;61
neck;test;FN;513;formalin;backscratching;4;38
neck;test;FN;513;formalin;backscratching;5;27
neck;test;FN;513;formalin;backscratching;6;11
neck;baseline;FN;519;baseline;backscratching;1;0
neck;baseline;FN;519;baseline;backscratching;2;0
neck;baseline;FN;519;baseline;backscratching;3;0
neck;baseline;FN;519;baseline;backscratching;4;1
neck;baseline;FN;519;baseline;backscratching;5;0
neck;baseline;FN;519;baseline;backscratching;6;0
neck;test;FN;519;formalin;backscratching;1;28
neck;test;FN;519;formalin;backscratching;2;97
neck;test;FN;519;formalin;backscratching;3;66
neck;test;FN;519;formalin;backscratching;4;80
neck;test;FN;519;formalin;backscratching;5;49
neck;test;FN;519;formalin;backscratching;6;54
neck;baseline;FN;G3F4;baseline;backscratching;1;0
neck;baseline;FN;G3F4;baseline;backscratching;2;0
