Behaviors;Observations;Intervals;F1-F;F2-F;F3-S;F4-S;M1-S
selfgrooming;C1F-baseline;0.00-300.00;6;0;0;5;1
selfgrooming;C1F-baseline;300.00-600.00;6;2;3;4;3
selfgrooming;C1F-baseline;600.00-900.00;4;2;3;4;2
selfgrooming;C1F-baseline;900.00-1200.00;3;0;1;6;1
selfgrooming;C1F-baseline;1200.00-1500.00;7;0;0;0;7
selfgrooming;C1F-baseline;1500.00-1800.00;9;1;5;0;1
selfgrooming;C2F-baseline;0.00-300.00;0;0;5;3;1
selfgrooming;C2F-baseline;300.00-600.00;1;6;8;0;9
selfgrooming;C2F-baseline;600.00-900.00;5;16;4;1;5
selfgrooming;C2F-baseline;900.00-1200.00;7;6;6;5;3
selfgrooming;C2F-baseline;1200.00-1500.00;2;1;4;8;6
selfgrooming;C2F-baseline;1500.00-1800.00;0;0;7;3;5
selfgrooming;C5F-baseline;0.00-300.00;9;3;16;5;1
selfgrooming;C5F-baseline;300.00-600.00;5;5;7;3;4
selfgrooming;C5F-baseline;600.00-900.00;6;3;10;6;2
selfgrooming;C5F-baseline;900.00-1200.00;12;13;2;7;11
selfgrooming;C5F-baseline;1200.00-1500.00;12;7;2;3;2
selfgrooming;C5F-baseline;1500.00-1800.00;6;6;1;1;1
selfgrooming;C6F-baseline;0.00-300.00;4;8;3;3;1
selfgrooming;C6F-baseline;300.00-600.00;8;10;6;1;6
selfgrooming;C6F-baseline;600.00-900.00;6;2;10;10;5
selfgrooming;C6F-baseline;900.00-1200.00;16;8;3;3;2
selfgrooming;C6F-baseline;1200.00-1500.00;3;1;5;0;3
selfgrooming;C6F-baseline;1500.00-1800.00;3;2;6;0;14
selfgrooming;C1F-formalin;0.00-300.00;6;1;1;6;0
selfgrooming;C1F-formalin;300.00-600.00;12;5;4;6;3
selfgrooming;C1F-formalin;600.00-900.00;9;3;11;1;7
selfgrooming;C1F-formalin;900.00-1200.00;0;1;2;2;5
selfgrooming;C1F-formalin;1200.00-1500.00;6;3;0;4;2
selfgrooming;C1F-formalin;1500.00-1800.00;4;8;0;2;0
selfgrooming;C2F-formalin;0.00-300.00;1;7;10;2;2
selfgrooming;C2F-formalin;300.00-600.00;4;2;13;11;2
selfgrooming;C2F-formalin;600.00-900.00;3;10;4;1;0
