Behaviors;Observations;Intervals;F1;F2;F3;F4;M1
allogrooming;C7F-baseline;0.00-300.00;0;3;0;0;0
allogrooming;C7F-baseline;300.00-600.00;0;10;0;4;0
allogrooming;C7F-baseline;600.00-900.00;4;8;0;4;3
allogrooming;C7F-baseline;900.00-1200.00;0;9;0;4;1
allogrooming;C7F-baseline;1200.00-1500.00;0;1;1;0;1
allogrooming;C7F-baseline;1500.00-1800.00;0;3;0;0;2
allogrooming;C8F-baseline;0.00-300.00;0;0;0;1;3
allogrooming;C8F-baseline;300.00-600.00;1;2;0;3;0
allogrooming;C8F-baseline;600.00-900.00;0;0;1;0;1
allogrooming;C8F-baseline;900.00-1200.00;2;0;0;1;7
allogrooming;C8F-baseline;1200.00-1500.00;0;1;11;2;0
allogrooming;C8F-baseline;1500.00-1800.00;6;2;5;1;0
allogrooming;C9F-baseline;0.00-300.00;2;0;0;0;1
allogrooming;C9F-baseline;300.00-600.00;1;0;4;2;6
allogrooming;C9F-baseline;600.00-900.00;2;0;3;3;10
allogrooming;C9F-baseline;900.00-1200.00;2;1;1;1;16
allogrooming;C9F-baseline;1200.00-1500.00;1;3;0;0;0
allogrooming;C9F-baseline;1500.00-1800.00;1;1;0;0;0
allogrooming;C10-baseline;0.00-300.00;0;0;3;0;4
allogrooming;C10-baseline;300.00-600.00;0;0;2;1;4
allogrooming;C10-baseline;600.00-900.00;0;0;0;0;0
allogrooming;C10-baseline;900.00-1200.00;0;0;0;0;0
allogrooming;C10-baseline;1200.00-1500.00;0;0;0;0;0
allogrooming;C10-baseline;1500.00-1800.00;3;0;9;2;1
allogrooming;C7F-formalin;0.00-300.00;0;0;0;0;2
allogrooming;C7F-formalin;300.00-600.00;0;0;3;0;0
allogrooming;C7F-formalin;600.00-900.00;0;0;0;1;0
allogrooming;C7F-formalin;900.00-1200.00;0;1;0;1;0
allogrooming;C7F-formalin;1200.00-1500.00;0;0;0;2;1
allogrooming;C7F-formalin;1500.00-1800.00;0;11;1;1;0
allogrooming;C8F-formalin;0.00-300.00;0;0;0;1;0
allogrooming;C8F-formalin;300.00-600.00;0;3;1;1;1
allogrooming;C8F-formalin;600.00-900.00;0;3;2;1;3
allogrooming;C8F-formalin;900.00-1200.00;0;0;1;8;2
allogrooming;C8F-formalin;1200.00-1500.00;0;1;6;6;13
allogrooming;C8F-formalin;1500.00-1800.00;0;0;0;0;0
allogrooming;C9F-formalin;0.00-300.00;0;0;1;0;0
allogrooming;C9F-formalin;300.00-600.00;1;0;0;0;1
allogrooming;C9F-formalin;600.00-900.00;0;0;0;0;7
allogrooming;C9F-formalin;900.00-1200.00;0;3;0;4;3
allogrooming;C9F-formalin;1200.00-1500.00;3;0;1;9;1
allogrooming;C9F-formalin;1500.00-1800.00;5;1;0;5;4
allogrooming;C10F-formalin;0.00-300.00;0;0;1;1;2
allogrooming;C10F-formalin;300.00-600.00;0;0;0;0;0
allogrooming;C10F-formalin;600.00-900.00;0;0;1;0;1
allogrooming;C10F-formalin;900.00-1200.00;1;0;1;2;0
allogrooming;C10F-formalin;1200.00-1500.00;0;1;0;1;0
allogrooming;C10F-formalin;1500.00-1800.00;1;0;0;0;2
allosniffing;C7F-baseline;0.00-300.00;3;3;1;3;1
allosniffing;C7F-baseline;300.00-600.00;1;0;1;1;0
allosniffing;C7F-baseline;600.00-900.00;0;0;0;0;0
allosniffing;C7F-baseline;900.00-1200.00;0;0;0;0;0
allosniffing;C7F-baseline;1200.00-1500.00;1;0;1;0;0
allosniffing;C7F-baseline;1500.00-1800.00;0;0;2;2;0
allosniffing;C8F-baseline;0.00-300.00;2;2;8;4;7
allosniffing;C8F-baseline;300.00-600.00;2;3;7;7;3
allosniffing;C8F-baseline;600.00-900.00;6;2;0;0;4
allosniffing;C8F-baseline;900.00-1200.00;7;1;0;0;6
allosniffing;C8F-baseline;1200.00-1500.00;1;2;3;0;3
allosniffing;C8F-baseline;1500.00-1800.00;2;0;0;0;1
allosniffing;C9F-baseline;0.00-300.00;6;6;4;0;5
allosniffing;C9F-baseline;300.00-600.00;0;0;0;1;0
allosniffing;C9F-baseline;600.00-900.00;2;1;4;0;1
allosniffing;C9F-baseline;900.00-1200.00;4;3;1;0;2
allosniffing;C9F-baseline;1200.00-1500.00;0;3;3;0;4
allosniffing;C9F-baseline;1500.00-1800.00;6;4;3;0;0
allosniffing;C10-baseline;0.00-300.00;3;0;2;3;2
allosniffing;C10-baseline;300.00-600.00;2;1;1;0;4
allosniffing;C10-baseline;600.00-900.00;0;1;1;1;1
allosniffing;C10-baseline;900.00-1200.00;0;1;0;0;0
allosniffing;C10-baseline;1200.00-1500.00;0;1;0;0;1
allosniffing;C10-baseline;1500.00-1800.00;0;0;0;0;1
allosniffing;C7F-formalin;0.00-300.00;0;0;1;3;0
allosniffing;C7F-formalin;300.00-600.00;1;2;0;1;1
allosniffing;C7F-formalin;600.00-900.00;0;0;1;0;0
allosniffing;C7F-formalin;900.00-1200.00;0;0;0;0;1
allosniffing;C7F-formalin;1200.00-1500.00;1;2;0;2;1
allosniffing;C7F-formalin;1500.00-1800.00;0;1;0;0;0
allosniffing;C8F-formalin;0.00-300.00;2;3;5;3;3
allosniffing;C8F-formalin;300.00-600.00;2;2;2;2;7
allosniffing;C8F-formalin;600.00-900.00;1;1;4;8;1
allosniffing;C8F-formalin;900.00-1200.00;0;3;2;1;4
allosniffing;C8F-formalin;1200.00-1500.00;4;0;2;0;1
allosniffing;C8F-formalin;1500.00-1800.00;0;1;1;8;1
allosniffing;C9F-formalin;0.00-300.00;0;4;1;1;2
allosniffing;C9F-formalin;300.00-600.00;4;2;4;3;3
allosniffing;C9F-formalin;600.00-900.00;0;1;0;0;0
allosniffing;C9F-formalin;900.00-1200.00;0;0;1;3;0
allosniffing;C9F-formalin;1200.00-1500.00;0;0;0;1;0
allosniffing;C9F-formalin;1500.00-1800.00;0;1;0;0;0
allosniffing;C10F-formalin;0.00-300.00;1;1;5;4;1
allosniffing;C10F-formalin;300.00-600.00;1;0;1;0;0
allosniffing;C10F-formalin;600.00-900.00;0;0;1;0;2
allosniffing;C10F-formalin;900.00-1200.00;4;0;1;1;2
allosniffing;C10F-formalin;1200.00-1500.00;3;1;5;0;0
allosniffing;C10F-formalin;1500.00-1800.00;1;0;0;1;2
anogenitalsniffing;C7F-baseline;0.00-300.00;4;5;0;0;1
anogenitalsniffing;C7F-baseline;300.00-600.00;1;0;0;2;0
anogenitalsniffing;C7F-baseline;600.00-900.00;0;2;0;2;2
anogenitalsniffing;C7F-baseline;900.00-1200.00;0;3;0;0;0
anogenitalsniffing;C7F-baseline;1200.00-1500.00;0;0;2;0;0
anogenitalsniffing;C7F-baseline;1500.00-1800.00;0;1;0;1;0
anogenitalsniffing;C8F-baseline;0.00-300.00;2;0;1;5;12
anogenitalsniffing;C8F-baseline;300.00-600.00;0;1;1;0;12
anogenitalsniffing;C8F-baseline;600.00-900.00;1;5;8;0;11
anogenitalsniffing;C8F-baseline;900.00-1200.00;1;6;1;4;8
anogenitalsniffing;C8F-baseline;1200.00-1500.00;1;5;1;0;6
anogenitalsniffing;C8F-baseline;1500.00-1800.00;0;2;0;0;12
anogenitalsniffing;C9F-baseline;0.00-300.00;5;2;6;1;6
anogenitalsniffing;C9F-baseline;300.00-600.00;3;4;2;0;4
anogenitalsniffing;C9F-baseline;600.00-900.00;8;3;0;1;2
anogenitalsniffing;C9F-baseline;900.00-1200.00;2;6;0;0;2
anogenitalsniffing;C9F-baseline;1200.00-1500.00;2;0;1;0;0
anogenitalsniffing;C9F-baseline;1500.00-1800.00;0;5;4;0;0
anogenitalsniffing;C10-baseline;0.00-300.00;4;3;2;4;7
anogenitalsniffing;C10-baseline;300.00-600.00;5;2;1;1;2
anogenitalsniffing;C10-baseline;600.00-900.00;0;2;2;0;7
anogenitalsniffing;C10-baseline;900.00-1200.00;0;2;1;0;1
anogenitalsniffing;C10-baseline;1200.00-1500.00;0;0;0;0;0
anogenitalsniffing;C10-baseline;1500.00-1800.00;1;0;0;0;0
anogenitalsniffing;C7F-formalin;0.00-300.00;0;0;2;1;2
anogenitalsniffing;C7F-formalin;300.00-600.00;0;0;0;0;0
anogenitalsniffing;C7F-formalin;600.00-900.00;0;0;1;0;0
anogenitalsniffing;C7F-formalin;900.00-1200.00;0;1;0;0;0
anogenitalsniffing;C7F-formalin;1200.00-1500.00;0;0;1;2;5
anogenitalsniffing;C7F-formalin;1500.00-1800.00;0;0;0;0;0
anogenitalsniffing;C8F-formalin;0.00-300.00;0;0;0;2;1
anogenitalsniffing;C8F-formalin;300.00-600.00;0;1;0;1;3
