Observations;phase;Behaviors;Subjects;Modifiers;dyad;totnb
C10-baseline;baseline;allogrooming;female1;female2;formalinformalin;0
C7F-baseline;baseline;allogrooming;female1;female2;formalinformalin;0
C8F-baseline;baseline;allogrooming;female1;female2;formalinformalin;4
C9F-baseline;baseline;allogrooming;female1;female2;formalinformalin;7
C10-baseline;baseline;allogrooming;female2;female1;formalinformalin;0
C7F-baseline;baseline;allogrooming;female2;female1;formalinformalin;19
C8F-baseline;baseline;allogrooming;female2;female1;formalinformalin;2
C9F-baseline;baseline;allogrooming;female2;female1;formalinformalin;1
C10-baseline;baseline;allogrooming;female1;male1;formalinsaline;1
C7F-baseline;baseline;allogrooming;female1;male1;formalinsaline;1.333333333
C8F-baseline;baseline;allogrooming;female1;male1;formalinsaline;1.666666667
C9F-baseline;baseline;allogrooming;female1;male1;formalinsaline;0.666666667
C10-baseline;baseline;allogrooming;female2;male1;formalinsaline;0
C7F-baseline;baseline;allogrooming;female2;male1;formalinsaline;4.333333333
C8F-baseline;baseline;allogrooming;female2;male1;formalinsaline;1
C9F-baseline;baseline;allogrooming;female2;male1;formalinsaline;1.333333333
C10-baseline;baseline;allogrooming;female3;female2;salineformalin;2.5
C7F-baseline;baseline;allogrooming;female3;female2;salineformalin;0
C8F-baseline;baseline;allogrooming;female3;female2;salineformalin;5
C9F-baseline;baseline;allogrooming;female3;female2;salineformalin;2
C10-baseline;baseline;allogrooming;female4;female2;salineformalin;0.5
C7F-baseline;baseline;allogrooming;female4;female2;salineformalin;2.5
C8F-baseline;baseline;allogrooming;female4;female2;salineformalin;2.5
C9F-baseline;baseline;allogrooming;female4;female2;salineformalin;1.5
C10-baseline;baseline;allogrooming;male1;female2;salineformalin;2
C7F-baseline;baseline;allogrooming;male1;female2;salineformalin;3.5
C8F-baseline;baseline;allogrooming;male1;female2;salineformalin;4
C9F-baseline;baseline;allogrooming;male1;female2;salineformalin;6
C10-baseline;baseline;allogrooming;female3;male1;salinesaline;4.5
C7F-baseline;baseline;allogrooming;female3;male1;salinesaline;0.5
C8F-baseline;baseline;allogrooming;female3;male1;salinesaline;3
C9F-baseline;baseline;allogrooming;female3;male1;salinesaline;1.5
C10-baseline;baseline;allogrooming;female4;male1;salinesaline;1
C7F-baseline;baseline;allogrooming;female4;male1;salinesaline;3.5
C8F-baseline;baseline;allogrooming;female4;male1;salinesaline;1
C9F-baseline;baseline;allogrooming;female4;male1;salinesaline;1.5
C10-baseline;baseline;allogrooming;male1;female4;salinesaline;2.5
C7F-baseline;baseline;allogrooming;male1;female4;salinesaline;0
C8F-baseline;baseline;allogrooming;male1;female4;salinesaline;1.5
C9F-baseline;baseline;allogrooming;male1;female4;salinesaline;9.5
C10F-formalin;formalin;allogrooming;female1;female2;formalinformalin;0
C7F-formalin;formalin;allogrooming;female1;female2;formalinformalin;0
C8F-formalin;formalin;allogrooming;female1;female2;formalinformalin;0
C9F-formalin;formalin;allogrooming;female1;female2;formalinformalin;6
