Behaviors;Observations;Intervals;F1;F2;F3;F4;M1
allogrooming;C7F-baseline;0.00-300.00;3;0;0;0;0
allogrooming;C7F-baseline;300.00-600.00;5;0;3;0;6
allogrooming;C7F-baseline;600.00-900.00;10;0;0;0;9
allogrooming;C7F-baseline;900.00-1200.00;6;2;0;3;3
allogrooming;C7F-baseline;1200.00-1500.00;2;0;0;0;1
allogrooming;C7F-baseline;1500.00-1800.00;3;2;0;0;0
allogrooming;C8F-baseline;0.00-300.00;0;1;2;1;0
allogrooming;C8F-baseline;300.00-600.00;1;3;0;2;0
allogrooming;C8F-baseline;600.00-900.00;0;0;0;2;0
allogrooming;C8F-baseline;900.00-1200.00;0;8;1;1;0
allogrooming;C8F-baseline;1200.00-1500.00;5;6;0;3;0
allogrooming;C8F-baseline;1500.00-1800.00;2;4;2;6;0
allogrooming;C9F-baseline;0.00-300.00;0;1;1;0;1
allogrooming;C9F-baseline;300.00-600.00;1;6;5;0;1
allogrooming;C9F-baseline;600.00-900.00;1;8;1;6;2
allogrooming;C9F-baseline;900.00-1200.00;0;8;5;7;1
allogrooming;C9F-baseline;1200.00-1500.00;0;1;0;0;3
allogrooming;C9F-baseline;1500.00-1800.00;1;1;0;0;0
allogrooming;C10-baseline;0.00-300.00;3;0;0;4;0
allogrooming;C10-baseline;300.00-600.00;4;0;0;2;1
allogrooming;C10-baseline;600.00-900.00;0;0;0;0;0
allogrooming;C10-baseline;900.00-1200.00;0;0;0;0;0
allogrooming;C10-baseline;1200.00-1500.00;0;0;0;0;0
allogrooming;C10-baseline;1500.00-1800.00;3;0;5;7;0
allogrooming;C7F-formalin;0.00-300.00;0;0;2;0;0
allogrooming;C7F-formalin;300.00-600.00;0;1;0;2;0
allogrooming;C7F-formalin;600.00-900.00;0;1;0;0;0
allogrooming;C7F-formalin;900.00-1200.00;0;1;0;0;1
allogrooming;C7F-formalin;1200.00-1500.00;0;0;0;1;2
allogrooming;C7F-formalin;1500.00-1800.00;12;1;0;0;0
allogrooming;C8F-formalin;0.00-300.00;0;1;0;0;0
allogrooming;C8F-formalin;300.00-600.00;0;1;0;1;4
allogrooming;C8F-formalin;600.00-900.00;0;1;1;2;5
allogrooming;C8F-formalin;900.00-1200.00;0;8;3;0;0
allogrooming;C8F-formalin;1200.00-1500.00;7;11;1;2;5
allogrooming;C8F-formalin;1500.00-1800.00;0;0;0;0;0
allogrooming;C9F-formalin;0.00-300.00;0;1;0;0;0
allogrooming;C9F-formalin;300.00-600.00;0;0;1;1;0
allogrooming;C9F-formalin;600.00-900.00;0;3;0;4;0
allogrooming;C9F-formalin;900.00-1200.00;3;0;0;3;4
allogrooming;C9F-formalin;1200.00-1500.00;5;8;1;0;0
allogrooming;C9F-formalin;1500.00-1800.00;1;8;4;2;0
allogrooming;C10F-formalin;0.00-300.00;0;0;1;3;0
allogrooming;C10F-formalin;300.00-600.00;0;0;0;0;0
allogrooming;C10F-formalin;600.00-900.00;0;0;1;1;0
allogrooming;C10F-formalin;900.00-1200.00;0;0;2;1;1
allogrooming;C10F-formalin;1200.00-1500.00;1;0;0;0;1
allogrooming;C10F-formalin;1500.00-1800.00;0;0;0;3;0
allosniffing;C7F-baseline;0.00-300.00;3;3;1;2;2
allosniffing;C7F-baseline;300.00-600.00;0;0;1;2;0
allosniffing;C7F-baseline;600.00-900.00;0;0;0;0;0
allosniffing;C7F-baseline;900.00-1200.00;0;0;0;0;0
allosniffing;C7F-baseline;1200.00-1500.00;0;0;0;1;1
allosniffing;C7F-baseline;1500.00-1800.00;0;0;2;2;0
allosniffing;C8F-baseline;0.00-300.00;2;2;7;5;7
allosniffing;C8F-baseline;300.00-600.00;3;2;3;4;10
allosniffing;C8F-baseline;600.00-900.00;4;2;1;1;4
allosniffing;C8F-baseline;900.00-1200.00;5;4;1;0;4
allosniffing;C8F-baseline;1200.00-1500.00;1;3;3;0;2
allosniffing;C8F-baseline;1500.00-1800.00;1;0;1;0;1
allosniffing;C9F-baseline;0.00-300.00;4;6;4;4;3
allosniffing;C9F-baseline;300.00-600.00;1;0;0;0;0
allosniffing;C9F-baseline;600.00-900.00;2;1;2;1;2
allosniffing;C9F-baseline;900.00-1200.00;5;3;0;0;2
allosniffing;C9F-baseline;1200.00-1500.00;4;1;3;0;2
allosniffing;C9F-baseline;1500.00-1800.00;5;4;4;0;0
allosniffing;C10-baseline;0.00-300.00;3;0;2;4;1
allosniffing;C10-baseline;300.00-600.00;2;1;1;3;1
allosniffing;C10-baseline;600.00-900.00;0;0;1;2;1
allosniffing;C10-baseline;900.00-1200.00;0;0;0;0;1
allosniffing;C10-baseline;1200.00-1500.00;0;1;0;0;1
allosniffing;C10-baseline;1500.00-1800.00;0;0;1;0;0
allosniffing;C7F-formalin;0.00-300.00;0;0;1;1;2
allosniffing;C7F-formalin;300.00-600.00;1;1;1;1;1
allosniffing;C7F-formalin;600.00-900.00;0;0;0;1;0
allosniffing;C7F-formalin;900.00-1200.00;0;0;1;0;0
allosniffing;C7F-formalin;1200.00-1500.00;1;1;0;1;3
allosniffing;C7F-formalin;1500.00-1800.00;0;0;1;0;0
allosniffing;C8F-formalin;0.00-300.00;1;0;6;6;3
allosniffing;C8F-formalin;300.00-600.00;1;2;4;3;5
allosniffing;C8F-formalin;600.00-900.00;1;4;4;6;0
allosniffing;C8F-formalin;900.00-1200.00;0;3;2;1;4
allosniffing;C8F-formalin;1200.00-1500.00;1;0;0;5;1
allosniffing;C8F-formalin;1500.00-1800.00;1;3;1;3;3
allosniffing;C9F-formalin;0.00-300.00;0;1;1;5;1
allosniffing;C9F-formalin;300.00-600.00;3;1;3;4;5
allosniffing;C9F-formalin;600.00-900.00;0;0;0;0;1
allosniffing;C9F-formalin;900.00-1200.00;0;1;1;1;1
allosniffing;C9F-formalin;1200.00-1500.00;0;1;0;0;0
allosniffing;C9F-formalin;1500.00-1800.00;1;0;0;0;0
allosniffing;C10F-formalin;0.00-300.00;0;1;4;4;3
allosniffing;C10F-formalin;300.00-600.00;0;1;0;0;1
allosniffing;C10F-formalin;600.00-900.00;0;0;2;0;1
allosniffing;C10F-formalin;900.00-1200.00;1;2;2;1;2
allosniffing;C10F-formalin;1200.00-1500.00;2;2;1;1;3
allosniffing;C10F-formalin;1500.00-1800.00;1;0;0;1;2
anogenitalsniffing;C7F-baseline;0.00-300.00;3;1;1;2;3
anogenitalsniffing;C7F-baseline;300.00-600.00;0;2;1;0;0
anogenitalsniffing;C7F-baseline;600.00-900.00;1;1;2;0;2
anogenitalsniffing;C7F-baseline;900.00-1200.00;0;0;0;1;2
anogenitalsniffing;C7F-baseline;1200.00-1500.00;0;0;0;0;2
anogenitalsniffing;C7F-baseline;1500.00-1800.00;0;0;1;1;0
anogenitalsniffing;C8F-baseline;0.00-300.00;2;2;7;5;4
anogenitalsniffing;C8F-baseline;300.00-600.00;2;3;5;4;0
anogenitalsniffing;C8F-baseline;600.00-900.00;8;1;3;9;4
anogenitalsniffing;C8F-baseline;900.00-1200.00;2;4;4;2;8
anogenitalsniffing;C8F-baseline;1200.00-1500.00;3;1;3;2;4
anogenitalsniffing;C8F-baseline;1500.00-1800.00;0;5;5;2;2
anogenitalsniffing;C9F-baseline;0.00-300.00;5;2;6;4;3
anogenitalsniffing;C9F-baseline;300.00-600.00;5;3;2;1;2
anogenitalsniffing;C9F-baseline;600.00-900.00;3;2;3;1;5
anogenitalsniffing;C9F-baseline;900.00-1200.00;5;1;2;0;2
anogenitalsniffing;C9F-baseline;1200.00-1500.00;1;0;2;0;0
anogenitalsniffing;C9F-baseline;1500.00-1800.00;4;3;2;0;0
anogenitalsniffing;C10-baseline;0.00-300.00;3;8;4;4;1
anogenitalsniffing;C10-baseline;300.00-600.00;0;0;4;4;3
anogenitalsniffing;C10-baseline;600.00-900.00;0;2;4;3;2
anogenitalsniffing;C10-baseline;900.00-1200.00;0;1;1;0;2
anogenitalsniffing;C10-baseline;1200.00-1500.00;0;0;0;0;0
anogenitalsniffing;C10-baseline;1500.00-1800.00;0;0;0;0;1
anogenitalsniffing;C7F-formalin;0.00-300.00;0;0;2;3;0
anogenitalsniffing;C7F-formalin;300.00-600.00;0;0;0;0;0
anogenitalsniffing;C7F-formalin;600.00-900.00;0;0;0;1;0
anogenitalsniffing;C7F-formalin;900.00-1200.00;0;0;0;1;0
anogenitalsniffing;C7F-formalin;1200.00-1500.00;0;0;5;2;1
anogenitalsniffing;C7F-formalin;1500.00-1800.00;0;0;0;0;0
anogenitalsniffing;C8F-formalin;0.00-300.00;2;0;1;0;0
anogenitalsniffing;C8F-formalin;300.00-600.00;0;1;2;2;0
anogenitalsniffing;C8F-formalin;600.00-900.00;1;1;3;2;2
anogenitalsniffing;C8F-formalin;900.00-1200.00;1;0;1;1;1
anogenitalsniffing;C8F-formalin;1200.00-1500.00;2;1;1;1;0
anogenitalsniffing;C8F-formalin;1500.00-1800.00;1;0;2;2;3
anogenitalsniffing;C9F-formalin;0.00-300.00;0;0;2;0;0
anogenitalsniffing;C9F-formalin;300.00-600.00;1;3;1;1;1
anogenitalsniffing;C9F-formalin;600.00-900.00;0;0;1;0;0
anogenitalsniffing;C9F-formalin;900.00-1200.00;0;0;0;0;0
anogenitalsniffing;C9F-formalin;1200.00-1500.00;0;0;0;0;0
anogenitalsniffing;C9F-formalin;1500.00-1800.00;2;0;0;0;3
anogenitalsniffing;C10F-formalin;0.00-300.00;0;0;2;0;0
anogenitalsniffing;C10F-formalin;300.00-600.00;0;0;1;1;1
anogenitalsniffing;C10F-formalin;600.00-900.00;0;0;2;2;0
anogenitalsniffing;C10F-formalin;900.00-1200.00;1;0;1;1;0
anogenitalsniffing;C10F-formalin;1200.00-1500.00;0;0;2;0;4
anogenitalsniffing;C10F-formalin;1500.00-1800.00;0;1;1;0;0
approach;C7F-baseline;0.00-300.00;8;3;2;8;11
approach;C7F-baseline;300.00-600.00;5;1;2;1;4
approach;C7F-baseline;600.00-900.00;10;3;4;1;6
approach;C7F-baseline;900.00-1200.00;6;4;5;5;6
approach;C7F-baseline;1200.00-1500.00;4;4;1;5;3
approach;C7F-baseline;1500.00-1800.00;4;2;4;0;1
approach;C8F-baseline;0.00-300.00;4;10;7;6;5
approach;C8F-baseline;300.00-600.00;4;12;13;5;7
approach;C8F-baseline;600.00-900.00;10;8;11;15;6
approach;C8F-baseline;900.00-1200.00;10;6;6;8;9
approach;C8F-baseline;1200.00-1500.00;4;13;5;9;7
approach;C8F-baseline;1500.00-1800.00;5;2;0;5;7
approach;C9F-baseline;0.00-300.00;15;16;17;10;10
approach;C9F-baseline;300.00-600.00;11;8;9;6;3
approach;C9F-baseline;600.00-900.00;8;12;7;10;17
approach;C9F-baseline;900.00-1200.00;8;7;12;0;7
approach;C9F-baseline;1200.00-1500.00;2;4;5;0;10
approach;C9F-baseline;1500.00-1800.00;9;13;14;1;5
approach;C10-baseline;0.00-300.00;16;11;14;18;22
approach;C10-baseline;300.00-600.00;9;0;7;6;9
approach;C10-baseline;600.00-900.00;10;6;8;3;5
approach;C10-baseline;900.00-1200.00;4;3;4;2;3
approach;C10-baseline;1200.00-1500.00;0;0;1;0;2
approach;C10-baseline;1500.00-1800.00;8;4;1;2;2
approach;C7F-formalin;0.00-300.00;3;1;3;10;5
approach;C7F-formalin;300.00-600.00;1;8;2;4;5
approach;C7F-formalin;600.00-900.00;0;3;2;2;6
approach;C7F-formalin;900.00-1200.00;0;4;2;3;7
approach;C7F-formalin;1200.00-1500.00;4;7;8;5;6
approach;C7F-formalin;1500.00-1800.00;9;6;1;3;10
approach;C8F-formalin;0.00-300.00;12;14;9;3;19
approach;C8F-formalin;300.00-600.00;4;9;5;10;7
approach;C8F-formalin;600.00-900.00;6;15;9;7;11
approach;C8F-formalin;900.00-1200.00;8;7;8;5;2
approach;C8F-formalin;1200.00-1500.00;13;6;4;8;0
approach;C8F-formalin;1500.00-1800.00;15;5;9;9;4
approach;C9F-formalin;0.00-300.00;6;13;5;10;5
approach;C9F-formalin;300.00-600.00;7;14;19;9;2
approach;C9F-formalin;600.00-900.00;0;7;3;2;5
approach;C9F-formalin;900.00-1200.00;1;5;7;3;3
approach;C9F-formalin;1200.00-1500.00;5;6;5;3;9
approach;C9F-formalin;1500.00-1800.00;8;5;5;5;7
approach;C10F-formalin;0.00-300.00;3;2;11;11;8
approach;C10F-formalin;300.00-600.00;1;0;8;3;8
approach;C10F-formalin;600.00-900.00;0;0;8;8;4
approach;C10F-formalin;900.00-1200.00;3;4;13;4;5
approach;C10F-formalin;1200.00-1500.00;5;5;6;3;5
approach;C10F-formalin;1500.00-1800.00;2;3;1;6;5
disputesfood;C7F-baseline;0.00-300.00;0;0;0;0;1
disputesfood;C7F-baseline;300.00-600.00;0;0;0;0;0
disputesfood;C7F-baseline;600.00-900.00;2;0;0;0;0
disputesfood;C7F-baseline;900.00-1200.00;0;0;0;0;0
disputesfood;C7F-baseline;1200.00-1500.00;1;0;0;1;0
disputesfood;C7F-baseline;1500.00-1800.00;0;0;0;0;0
disputesfood;C8F-baseline;0.00-300.00;0;0;1;0;0
disputesfood;C8F-baseline;300.00-600.00;3;0;2;0;1
disputesfood;C8F-baseline;600.00-900.00;6;6;0;0;0
disputesfood;C8F-baseline;900.00-1200.00;1;1;2;0;0
disputesfood;C8F-baseline;1200.00-1500.00;0;1;0;0;0
disputesfood;C8F-baseline;1500.00-1800.00;0;0;0;0;0
disputesfood;C9F-baseline;0.00-300.00;0;0;2;0;0
disputesfood;C9F-baseline;300.00-600.00;0;1;0;0;0
disputesfood;C9F-baseline;600.00-900.00;0;3;1;0;2
disputesfood;C9F-baseline;900.00-1200.00;0;5;0;0;5
disputesfood;C9F-baseline;1200.00-1500.00;0;0;0;0;2
disputesfood;C9F-baseline;1500.00-1800.00;0;3;0;0;0
disputesfood;C10-baseline;0.00-300.00;3;1;2;2;4
disputesfood;C10-baseline;300.00-600.00;1;0;1;1;3
disputesfood;C10-baseline;600.00-900.00;1;0;1;0;0
disputesfood;C10-baseline;900.00-1200.00;0;0;0;0;2
disputesfood;C10-baseline;1200.00-1500.00;0;0;0;0;0
disputesfood;C10-baseline;1500.00-1800.00;0;0;0;0;0
disputesfood;C7F-formalin;0.00-300.00;0;0;1;1;0
disputesfood;C7F-formalin;300.00-600.00;0;1;0;0;0
disputesfood;C7F-formalin;600.00-900.00;0;0;0;0;0
disputesfood;C7F-formalin;900.00-1200.00;0;0;0;0;0
disputesfood;C7F-formalin;1200.00-1500.00;0;0;2;0;2
disputesfood;C7F-formalin;1500.00-1800.00;0;0;2;0;2
disputesfood;C8F-formalin;0.00-300.00;1;0;0;0;1
disputesfood;C8F-formalin;300.00-600.00;0;4;0;2;0
disputesfood;C8F-formalin;600.00-900.00;0;1;1;0;0
disputesfood;C8F-formalin;900.00-1200.00;1;0;1;0;0
disputesfood;C8F-formalin;1200.00-1500.00;0;0;0;0;0
disputesfood;C8F-formalin;1500.00-1800.00;0;1;1;0;0
disputesfood;C9F-formalin;0.00-300.00;0;0;0;1;0
disputesfood;C9F-formalin;300.00-600.00;0;0;0;1;0
disputesfood;C9F-formalin;600.00-900.00;0;0;0;0;0
disputesfood;C9F-formalin;900.00-1200.00;0;0;0;0;0
disputesfood;C9F-formalin;1200.00-1500.00;0;0;0;0;0
disputesfood;C9F-formalin;1500.00-1800.00;0;0;0;0;0
disputesfood;C10F-formalin;0.00-300.00;0;0;3;0;12
disputesfood;C10F-formalin;300.00-600.00;0;0;9;8;25
disputesfood;C10F-formalin;600.00-900.00;0;0;8;16;5
disputesfood;C10F-formalin;900.00-1200.00;0;0;1;0;0
disputesfood;C10F-formalin;1200.00-1500.00;0;0;2;0;3
disputesfood;C10F-formalin;1500.00-1800.00;0;0;0;0;0
escape;C7F-baseline;0.00-300.00;3;2;0;1;0
escape;C7F-baseline;300.00-600.00;0;0;0;0;0
escape;C7F-baseline;600.00-900.00;0;1;0;2;0
escape;C7F-baseline;900.00-1200.00;0;0;0;0;0
escape;C7F-baseline;1200.00-1500.00;0;0;0;0;0
escape;C7F-baseline;1500.00-1800.00;0;0;0;1;0
escape;C8F-baseline;0.00-300.00;0;1;1;1;0
escape;C8F-baseline;300.00-600.00;1;2;1;1;2
escape;C8F-baseline;600.00-900.00;1;1;1;0;2
escape;C8F-baseline;900.00-1200.00;2;0;0;0;0
escape;C8F-baseline;1200.00-1500.00;0;0;1;0;0
escape;C8F-baseline;1500.00-1800.00;0;0;0;0;1
escape;C9F-baseline;0.00-300.00;3;3;0;0;6
escape;C9F-baseline;300.00-600.00;0;0;0;2;2
escape;C9F-baseline;600.00-900.00;1;0;1;2;0
escape;C9F-baseline;900.00-1200.00;1;0;0;1;0
escape;C9F-baseline;1200.00-1500.00;0;0;1;0;3
escape;C9F-baseline;1500.00-1800.00;1;6;3;0;0
escape;C10-baseline;0.00-300.00;3;0;4;1;1
escape;C10-baseline;300.00-600.00;0;0;1;0;2
escape;C10-baseline;600.00-900.00;0;2;0;0;0
escape;C10-baseline;900.00-1200.00;1;0;0;0;0
escape;C10-baseline;1200.00-1500.00;0;0;0;0;0
escape;C10-baseline;1500.00-1800.00;0;0;0;0;0
escape;C7F-formalin;0.00-300.00;0;0;1;0;3
escape;C7F-formalin;300.00-600.00;0;1;0;0;0
escape;C7F-formalin;600.00-900.00;0;0;2;0;0
escape;C7F-formalin;900.00-1200.00;0;0;0;1;0
